상호명,상가업소번호,지점명,건물명,경도,위도
8번가,23490550,,,129.336718,35.53865906
8번가닭강정,17130080,,,129.2998824,35.53493375
8번가컴퓨터,22169831,,,129.3462926,35.57116171
8번할매회집,25997959,,일반부두경비초소,129.3851175,35.50795522
8차원,16289924,,,129.3194525,35.54691592
9.9춘천닭갈비,12561570,,,129.332012,35.54414602
9.9춘천닭갈비,12671323,,,129.42273,35.49872978
9.9춘천닭갈비,12618289,,,129.3523392,35.63092207
9.9춘천닭갈비,23294359,,,129.4177214,35.48277258
9.9헤어,16356399,,,129.3501234,35.56409772
92,16755734,,,129.240568,35.57347687
9289치킨,17181462,,,129.3685256,35.58892827
9292양꼬치,12341289,,,129.2941278,35.53227368
93SBLOSSOM,16331027,,,129.3303445,35.54000038
94번가,16988938,앤치킨이즈백,,129.3071266,35.55665813
99맛집,15987858,,,129.3736944,35.50192991
99모텔,16322383,,,129.3414724,35.53478472
99분식,12034502,,,129.2554523,35.54107376
99썬팅,24918228,,,129.3102202,35.55698507
99푸드,16766491,,협성노블리스,129.3490041,35.63086033
9길,17038204,,,129.3092137,35.56020466
9길미트,24593301,,,129.3478911,35.55792174
9바이크,24626012,,,129.3606715,35.55774212
9엠리,16096548,,,129.2069258,35.6509977
9편의점,26579846,,,129.3309616,35.52529323
9회말투아웃,25997178,,,129.2662425,35.5638543
A_PEC학원,21085392,,,129.2907339,35.53585221
A+02독서실,24867474,,,129.4145615,35.48292683
A+강남피부스킨케어,15966628,,스마트빌,129.356249,35.62840857
A+바,22939191,,,129.4261609,35.49703989
A1자동차정비공업사,26574746,,,129.3389133,35.54136566
AaRCOVALENO,20773904,,,129.3282471,35.54655798
ABC21세기치킨,22902103,,,129.3328544,35.54173923
ABCGOLF,24320263,,상안골프연습장,129.3465734,35.6274536
ABCMART,25439027,,롯데호텔,129.3380743,35.53865303
ABC-MART,12265563,,,129.3203308,35.55340473
ABC마트,25880597,울산점,,129.3203308,35.55340473
ABC마트,25727756,울산롯데점,롯데호텔,129.3380743,35.53865303
ABC마트,25384590,,,129.3192752,35.55359655
Ae쁨hair,16032621,,,129.3328411,35.63546561
Agreatcafe에이그레이트까페,12494472,,신광산업,129.4387347,35.62962371
aile엘,23164846,,,129.4251019,35.49761121
AJ렌터카,20780207,,,129.3497487,35.53845983
AM6:00,16697067,,드림인시티에일린의뜰1차,129.3641308,35.63683677
AMINA,16330765,,사랑선교교회,129.3576551,35.64758121
AN,26573893,,,129.3327781,35.54246112
ANOTHERMAERYO,12265090,,,129.3215323,35.55470748
ANT,24595342,,모던하우스12,129.4204239,35.49608009
A-one,14366628,,,129.3115161,35.54377582
Aone단과학원,20799747,,,129.335916,35.5441569
Arioso,12264403,,,129.3201953,35.55590284
AromaCoffe,25259944,,,129.3205035,35.34618899
ARTBOX,12265542,,,129.3209121,35.55387606
ARTE,25540884,,,129.34149,35.5418057
Artisan,16061648,,,129.255365,35.53901065
Asome폰카페휴넷솔루션,13429268,,,129.3405614,35.53768805
Atelier숲속의채송화,17068905,,,129.3484096,35.64409794
ATOMSHOP,24439063,,,129.3577942,35.56371414
ATOZ영어수학학원,24997000,,프리지아,129.3430035,35.62917887
AURA영수학원,22203735,,,129.4179006,35.48356362
AUTOMS,24507297,동울산점,,129.4130259,35.478925
AZCOFFEE,16589578,,,129.1265113,35.56589895
A급노래연습장,24644825,,,129.332009,35.54396579
A올인헤어,16367984,,,129.1189986,35.55713591
A캠프입시단과학원,25998569,,,129.3258644,35.5270889
B,25999579,,,129.3444522,35.54088943
B,26000513,,에스케이뷰아파트,129.3206084,35.53401455
B&B,22281088,,,129.2705784,35.59254241
B&B모텔,14284886,,,129.3449025,35.38328012
B.B애견,26590377,,,129.3097842,35.54510155
B.Y.C,24444869,매곡점,,129.3526606,35.64344641
B.Y.C아진점아진점,24444880,아진점,쌍용아진그린타운1차,129.3431965,35.63015913
B1,26000134,,,129.4320419,35.52348645
BaBa피자,16738900,,,129.2814985,35.41188362
BABYDIARYSTUDIO,21093920,,OK빌딩,129.429188,35.49807662
BALENASIXCOFFEECOMPANY,16384395,,,129.3302615,35.53831585
BANADA헤어,16011549,,,129.3485212,35.64023016
BANKER,17258131,,,129.2939517,35.55837754
BARDAK,25999468,,,129.360047,35.59061955
BBBR,16585704,,,129.2556175,35.55308657
BBQ치킨,23397234,우정혁신점,,129.2947977,35.56022515
BBQ치킨,19935284,우정점,,129.3117683,35.55993354
BBQ치킨,19908562,화정점,,129.4232735,35.50330198
BBQ치킨,23307049,명촌점,업무시설,129.3579211,35.55292413
BBQ치킨,25635202,,,129.2253099,35.56255577
BBQ치킨,25870282,쌍용하나점,,129.2378612,35.4964239
BBQ치킨,23460153,울산남외점,,129.3502822,35.56435732
BBQ치킨,8867024,무거점,,129.2581809,35.55196926
BBQ치킨,12059860,덕신점,,129.3105089,35.42748073
BBQ치킨,12059175,울산현대달동본점,,129.3219413,35.53460383
BBQ치킨,14281574,,,129.317903,35.52635597
BBQ치킨,26000169,중산이화점,,129.3416001,35.66211868
BBQ치킨,17107537,신정점,,129.3211986,35.54915908
BBQ치킨,11934283,울산전하점,,129.4271132,35.51037689
BBQ치킨,16038007,,,129.4278849,35.54025479
BBQ치킨,17150938,올리브치킨,,129.2623317,35.55573843
BBQ치킨,19938502,옥동점,,129.2954221,35.53527918
BBQ치킨,19938430,성안점,,129.3160202,35.57442525
BBQ치킨,21892721,화정점,,129.4251686,35.49577177
BBQ치킨,16476731,신정문수점,,129.3029564,35.53819036
BBQ치킨,16388576,삼산본동점,,129.3462209,35.54444788
BBQ치킨병영행운점,12059870,병영행운점,,129.3459256,35.57098555
BBQ치킨삼산점,3252349,삼산점,현우골든맨션,129.3332762,35.54123885
BBQ치킨울산반구점,12106266,울산반구점,,129.3407541,35.55854211
BBQ치킨울산야음점,25998619,울산야음점,,129.3179998,35.5262107
BCBG,25514971,,롯데호텔,129.3380743,35.53865303
BD,26591439,,,129.2566709,35.54072758
